"","x"
"1",-2.47272988134077
"2",-2.36247132221248
"3",-1.73651679142378
"4",-3.35781236948699
"5",-3.13626204567601
"6",-2.98533020399877
"7",-1.25118465434813
"8",-2.76594762856969
"9",-3.16878898732035
"10",-3.20040595278796
"11",-3.18380904929831
"12",-3.14486978645768
"13",-2.9388396870094
"14",-2.26652937563735
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
