"","x"
"1",36.8190729393708
"2",80.6959539465918
"3",34.8720504950943
"4",102.651469377223
"5",98.2497702849871
"6",20.3886815635959
"7",43.4956308803709
"8",76.601846148961
"9",92.3212498037168
"10",82.9963680801142
"11",108.977237139534
"12",72.8239526509821
"13",69.3117870961018
"14",88.3063840261136
"15",26.6784800393533
"16",35.6534399691838
"17",109.132139728758
"18",60.2506295435789
"19",82.4682050795516
"20",115.416392076268
"21",28.4775789697751
"22",26.6684876907114
"23",22.5022328956437
"24",44.335506994705
