"","x"
"1",2.12511385868595
"2",-0.416536744793899
"3",1.05042438108124
"4",1.52425250524375
"5",1.09987859724365
"6",5.00952102319288
"7",1.77719499106898
"8",0.479447180839784
"9",2.70135277100757
"10",2.03885222364506
"11",1.08898155029152
"12",0.373690644839871
"13",2.43647186017959
"14",4.44274082203466
"15",0.490344755897987
"16",1.13627659877635
"17",-0.340157063235728
"18",3.73932334613139
"19",0.643487218808802
"20",3.08962946941836
"21",1.05902823155337
"22",2.10382430370216
"23",2.67667663181211
"24",-0.455484770286139
